Day,Area,Price1,Band,Demand,Excess Demand,Provisional Price,Price Increment Applicable,lat,long,Price
1,Andhra Pradesh,292.5,800,0,-5,0,0,16,80,234
1,Assam,35,800,8,-3,35,0,26.2006043,92.9375739,28
1,Bihar,106.25,800,0,-4,0,0,25.11,85.32,85
1,Delhi,771.25,800,0,-3,0,0,28.38,77.12,617
1,Gujarat,343.75,800,0,-2,0,0,23,72,275
1,Haryana,47.5,800,4,-2,47.5,0,29.3,76,38
1,Himachal Pradesh,23.75,800,4,-3,23.75,0,31.79,77.1,19
1,Kashmir,35,800,4,-3,35,0,33.94,76.54,28
1,Karnataka,378.75,800,0,-1,0,0,15,75,303
1,Kolkata,183.75,800,0,-1,0,0,22.56263,88.36304,147
1,Madhya Pradesh,131.85,800,4,-1,124.29,0,23.3,80,105.48
1,Maharashtra,427.98,800,0,-3,427.98,0,20,76,342.384
1,Mumbai,548.75,800,4,-2,548.75,0,19.07283,72.88261,439
1,North East,13.75,800,8,-3,13.75,0,28,95,11
1,Odisha,47.5,800,4,-2,47.5,0,26,94.2,38
1,Punjab,106.25,800,0,-3,0,0,30.8,75.5,85
1,Tamil Nadu,450,800,0,-1,0,0,11,78,360
1,Uttar Pradesh E,167.5,800,0,-3,0,0,26,82,134
1,Uttar Pradesh W,118.75,800,0,-1,0,0,28,80,95
1,West Bengal,71.25,800,0,-1,0,0,23,87,57
2,Andhra Pradesh,292.5,800,0,-5,0,0,16,80,234
2,Assam,35,800,8,-3,35,0,26.2006043,92.9375739,28
2,Bihar,106.25,800,0,-4,0,0,25.11,85.32,85
2,Delhi,771.25,800,0,-3,0,0,28.38,77.12,617
2,Gujarat,343.75,800,0,-2,0,0,23,72,275
2,Haryana,47.5,800,4,-2,47.5,0,29.3,76,38
2,Himachal Pradesh,23.75,800,4,-3,23.75,0,31.79,77.1,19
2,Kashmir,35,800,4,-3,35,0,33.94,76.54,28
2,Karnataka,378.75,800,0,-1,0,0,15,75,303
2,Kolkata,183.75,800,0,-1,0,0,22.56263,88.36304,147
2,Madhya Pradesh,131.85,800,8,3,131.85,3.95,23.3,80,105.48
2,Maharashtra,427.98,800,0,-3,423.75,0,20,76,342.384
2,Mumbai,548.75,800,4,-2,548.75,0,19.07283,72.88261,439
2,North East,13.75,800,8,-3,13.75,0,28,95,11
2,Odisha,47.5,800,4,-2,47.5,0,26,94.2,38
2,Punjab,106.25,800,0,-3,0,0,30.8,75.5,85
2,Tamil Nadu,450,800,0,-1,0,0,11,78,360
2,Uttar Pradesh E,167.5,800,0,-3,0,0,26,82,134
2,Uttar Pradesh W,118.75,800,0,-1,0,0,28,80,95
2,West Bengal,71.25,800,0,-1,0,0,23,87,57
3,Andhra Pradesh,292.5,800,7,2,292.5,5.85,16,80,234
